Price,Type,Size,Beds,Bath,Location
19000000,Apartment,2350.0,3,4,Bashundhara R-A
33000000,Apartment,2294.0,3,4,Gulshan
13500000,Apartment,1745.0,3,3,Bashundhara R-A
5300000,Apartment,1080.0,3,2,Hazaribag
25000000,Apartment,1920.0,3,3,Banani
7000000,Apartment,1347.0,3,3,Badda
21000000,Apartment,1975.0,3,3,Lalmatia
9300000,Apartment,1450.0,3,3,Adabor
27500000,Apartment,2030.0,3,3,Gulshan
21500000,Apartment,1760.0,3,3,Uttara
3650000,Apartment,819.0,2,2,Mirpur
6700000,Apartment,1300.0,3,3,Mirpur
8800000,Apartment,1662.0,3,3,Mohammadpur
12200000,Apartment,1600.0,3,3,Adabor
4500000,Apartment,750.0,2,2,Aftab Nagar
4500000,Apartment,750.0,2,2,Aftab Nagar
28500000,Building,5600.0,12,10,Dhanmondi
4500000,Apartment,750.0,2,2,Aftab Nagar
4370000,Apartment,1100.0,3,3,Bashabo
7500000,Apartment,1320.0,3,3,Mirpur
9000000,Apartment,1400.0,3,3,Banasree
28000000,Apartment,2199.0,3,3,Banani
13000000,Apartment,1550.0,3,3,Uttara
4000000,Apartment,800.0,2,2,Maghbazar
6500000,Apartment,800.0,2,2,Adabor
29900000,Apartment,2030.0,3,3,Gulshan
5700000,Apartment,1310.0,3,3,Adabor
4500000,Apartment,750.0,2,2,Aftab Nagar
18000000,Apartment,2220.0,4,4,Bashundhara R-A
6800000,Apartment,1660.0,3,3,Mirpur
5200000,Apartment,1075.0,3,2,Mirpur
8000000,Apartment,1090.0,3,2,Shahjahanpur
9088000,Apartment,1398.0,3,2,Uttara
8275000,Apartment,1306.0,3,2,Uttara
8275000,Apartment,1306.0,3,2,Uttara
19000000,Apartment,1950.0,4,3,Bashundhara R-A
4000000,Apartment,800.0,2,2,Dakshin Khan
16000000,Apartment,1430.0,3,3,Kathalbagan
9088000,Apartment,1398.0,3,2,Uttara
8602000,Apartment,1317.0,3,2,Uttara
11000000,Apartment,1500.0,3,3,Uttara
3000000,Apartment,550.0,2,2,Mirpur
