Price,Size,Bed,Bath
3650000,819.0,2,2
6700000,1300.0,3,3
7500000,1320.0,3,3
6800000,1660.0,3,3
5200000,1075.0,3,2
3000000,550.0,2,2
3000000,550.0,2,2
6548000,1412.0,3,3
4700000,1000.0,3,3
6700000,1220.0,3,3
4350000,900.0,2,2
6000000,1050.0,2,2
8000000,1350.0,3,3
6000000,1200.0,3,3
4800000,850.0,2,2
6000000,1200.0,3,3
6000000,1200.0,3,3
7400000,1230.0,3,3
7500000,1250.0,3,3
6000000,1200.0,3,3
7400000,1230.0,3,3
7500000,1250.0,3,3
7500000,1250.0,3,3
7400000,1230.0,3,3
7400000,1230.0,3,3
7400000,1230.0,3,3
10000000,1500.0,3,3
7500000,1250.0,3,3
4000000,754.0,2,2
4200000,800.0,2,2
4300000,950.0,2,2
4700000,800.0,3,2
4700000,800.0,3,2
10500000,1553.0,3,3
5000000,1220.0,3,2
3500000,650.0,2,2
5600000,1175.0,3,2
3500000,650.0,2,2
2600000,650.0,2,2
10500000,1553.0,3,3
3500000,650.0,2,2
3200000,800.0,2,2
3500000,800.0,2,2
5400000,1015.0,3,2
5200000,1100.0,3,2
5500000,1100.0,3,2
3000000,650.0,2,2
3000000,650.0,2,2
3000000,650.0,2,2
3000000,650.0,2,2
5300000,950.0,3,2
4500000,920.0,3,2
4500000,920.0,3,2
4500000,920.0,3,2
5500000,1100.0,3,2
5500000,1100.0,3,2
3700000,850.0,2,2
6000000,1200.0,3,3
6000000,1145.0,3,2
3000000,650.0,2,2
4900000,935.0,3,2
3644000,650.0,2,2
7000000,1660.0,3,3
3100000,650.0,2,2
6000000,1100.0,3,3
4600000,850.0,2,2
11000000,1553.0,3,3
5500000,1150.0,3,3
6000000,1200.0,3,3
2900000,650.0,2,2
5500000,940.0,2,2
3000000,650.0,2,2
3100000,850.0,2,2
6800000,1285.0,3,3
4000000,1000.0,3,2
4800000,1050.0,3,2
6800000,1285.0,3,2
6800000,1208.0,3,2
7000000,1120.0,3,2
5000000,920.0,3,2
6500000,1070.0,3,3
9000000,1460.0,3,3
9700000,1380.0,3,3
5600000,1175.0,3,2
7000000,1463.0,3,3
8600000,1276.0,3,3
4800000,935.0,2,2
8000000,1485.0,3,4
7030000,1265.0,3,3
7500000,1220.0,3,3
7200000,1350.0,3,2
4300000,850.0,2,2
7200000,1350.0,3,3
6000000,1120.0,3,3
5000000,1220.0,3,2
7500000,1220.0,3,3
5000000,1220.0,3,2
5000000,1220.0,3,2
6000000,1050.0,3,2
8500000,1750.0,3,3
4300000,850.0,2,2
5600000,1150.0,3,2
7500000,1500.0,3,3
5500000,1050.0,3,2
11500000,2400.0,6,5
6000000,1015.0,2,2
5000000,1220.0,3,2
6400000,1040.0,2,2
5600000,1150.0,3,2
5725000,950.0,2,2
4500000,730.0,2,2
7030000,1265.0,3,3
7030000,1265.0,3,3
9713000,1675.0,3,3
4700000,950.0,2,2
6880000,1160.0,3,3
6300000,1160.0,3,3
7320000,1240.0,3,3
7320000,1240.0,3,3
7000000,1240.0,3,3
7320000,1240.0,3,3
4500000,860.0,2,2
5700000,980.0,2,2
5500000,1200.0,3,2
5500000,1200.0,3,2
4200000,1087.0,3,2
5725000,950.0,2,2
5725000,950.0,2,2
6880000,1160.0,3,3
6880000,1160.0,3,3
4200000,1000.0,3,2
6700000,1300.0,3,3
6800000,1300.0,3,3
11500000,1554.0,3,3
11500000,1554.0,3,3
11500000,1554.0,3,3
11500000,1554.0,3,3
11500000,1554.0,3,3
11500000,1554.0,3,3
2700000,700.0,2,1
2100000,600.0,2,2
2700000,700.0,2,1
3000000,700.0,2,1
2500000,700.0,2,1
3000000,700.0,2,1
2500000,700.0,2,2
8500000,1425.0,3,3
5000000,935.0,3,2
7500000,1320.0,3,3
7795000,1290.0,3,3
11399999,1650.0,4,4
9445000,1350.0,3,3
10000000,1375.0,3,3
10300000,1375.0,3,3
10300000,1375.0,3,3
10300000,1375.0,3,3
10300000,1375.0,3,3
7500000,1356.0,3,3
6000000,1090.0,3,3
4500000,840.0,2,2
6800000,1010.0,3,2
8675000,1450.0,3,3
10000000,1553.0,3,3
5000000,975.0,3,2
5200000,900.0,2,2
2520000,650.0,2,2
6500000,1300.0,3,2
8000000,1350.0,3,3
3200000,626.0,2,2
11000000,1553.0,3,4
12500000,1872.0,3,4
