Price,Size,Beds,Bath,Location
9300000,1450.0,3,3,Adabor
12200000,1600.0,3,3,Adabor
5700000,1310.0,3,3,Adabor
4900000,840.0,3,2,Adabor
5575000,1075.0,3,2,Adabor
3800000,750.0,2,2,Adabor
6500000,1005.0,3,3,Adabor
11200000,1550.0,3,3,Adabor
13200000,1778.0,3,3,Adabor
5500000,1050.0,3,2,Adabor
9319000,1217.0,2,3,Adabor
13200000,1778.0,3,3,Adabor
13200000,1778.0,3,3,Adabor
3800000,750.0,2,2,Adabor
3800000,750.0,2,2,Adabor
9300000,1550.0,3,3,Adabor
13200000,1912.0,3,3,Adabor
13200000,1900.0,3,3,Adabor
13200000,1900.0,3,3,Adabor
11200000,1600.0,3,3,Adabor
11200000,1600.0,3,3,Adabor
9300000,1475.0,3,3,Adabor
10200000,1438.0,3,3,Adabor
11200000,1600.0,3,3,Adabor
9300000,1600.0,3,3,Adabor
9300000,1600.0,3,3,Adabor
9300000,1600.0,3,3,Adabor
13200000,1912.0,3,3,Adabor
5800000,1030.0,3,3,Adabor
9300000,1550.0,3,3,Adabor
8450000,1400.0,3,3,Adabor
6800000,1105.0,3,3,Adabor
6500000,1250.0,3,3,Adabor
7300000,1350.0,3,3,Adabor
6900000,1090.0,3,2,Adabor
17000000,2875.0,5,5,Adabor
6500000,1250.0,3,3,Adabor
7300000,1350.0,3,3,Adabor
11000000,1532.0,3,3,Adabor
8000000,1480.0,3,3,Adabor
5500000,1000.0,3,2,Adabor
7200000,1250.0,3,3,Adabor
7500000,1324.0,3,3,Adabor
7500000,1324.0,3,3,Adabor
8700000,1467.0,3,3,Adabor
8200000,1500.0,3,4,Adabor
8200000,1500.0,3,4,Adabor
3800000,700.0,2,2,Adabor
5575000,1075.0,3,2,Adabor
4000000,950.0,2,2,Adabor
6480000,1080.0,3,2,Adabor
10000000,1550.0,3,3,Adabor
6659999,1110.0,3,2,Adabor
8800000,1450.0,3,4,Adabor
6659999,1110.0,3,2,Adabor
5000000,980.0,3,2,Adabor
6480000,1080.0,3,2,Adabor
6800000,1040.0,2,2,Adabor
6500000,1339.0,4,3,Adabor
10800000,1530.0,4,3,Adabor
9000000,1400.0,3,3,Adabor
6000000,910.0,2,2,Adabor
7600000,1170.0,3,3,Adabor
10800000,1530.0,4,3,Adabor
7200000,1250.0,3,3,Adabor
9850000,1550.0,3,3,Adabor
10800000,1530.0,4,3,Adabor
9400000,1350.0,3,3,Adabor
6200000,800.0,2,2,Adabor
6300000,1400.0,3,3,Adabor
6200000,800.0,2,2,Adabor
6250000,1250.0,3,3,Adabor
5330000,1050.0,3,2,Adabor
9950000,1450.0,3,3,Adabor
5330000,1050.0,3,2,Adabor
5700000,1000.0,2,2,Adabor
5330000,1050.0,3,2,Adabor
4200000,800.0,2,2,Adabor
9100000,1350.0,3,3,Adabor
10300000,1550.0,3,3,Adabor
8250000,1375.0,3,3,Adabor
9950000,1480.0,3,3,Adabor
9950000,1480.0,3,3,Adabor
10500000,1500.0,3,3,Adabor
8500000,1421.0,3,3,Adabor
7381999,1220.0,3,3,Adabor
8250000,1375.0,3,3,Adabor
7158000,1188.0,3,3,Adabor
7158000,1188.0,3,3,Adabor
9950000,1480.0,3,3,Adabor
6938000,1110.0,3,2,Adabor
6656000,1080.0,3,2,Adabor
6938000,1110.0,3,2,Adabor
6656000,1080.0,3,2,Adabor
8500000,1425.0,3,3,Adabor
8700000,1450.0,3,3,Adabor
8700000,1450.0,3,3,Adabor
8700000,1450.0,3,3,Adabor
8700000,1450.0,3,3,Adabor
8300000,1430.0,3,3,Adabor
8200000,1430.0,3,3,Adabor
10500000,1500.0,3,3,Adabor
10500000,1500.0,3,3,Adabor
8700000,1450.0,3,3,Adabor
11000000,1550.0,3,3,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
4400000,800.0,2,2,Adabor
8700000,1450.0,3,3,Adabor
8000000,1680.0,3,3,Adabor
8500000,1305.0,3,3,Adabor
6500000,1450.0,3,3,Adabor
7500000,1450.0,3,3,Adabor
8500000,1500.0,3,3,Adabor
6500000,1200.0,3,3,Adabor
9500000,1550.0,3,3,Adabor
7859999,1310.0,3,3,Adabor
6500000,1030.0,3,3,Adabor
9500000,1480.0,3,3,Adabor
6500000,1200.0,3,3,Adabor
8000000,1300.0,3,3,Adabor
5700000,1000.0,2,2,Adabor
4000000,915.0,2,2,Adabor
9450000,1572.0,3,3,Adabor
6000000,1000.0,2,2,Adabor
7500000,1300.0,3,3,Adabor
8200000,1270.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
8500000,1415.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
5500000,950.0,2,2,Adabor
6000000,950.0,2,2,Adabor
5000000,920.0,2,2,Adabor
7700000,1375.0,3,3,Adabor
7900000,1421.0,3,3,Adabor
6850000,1220.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
7975000,1150.0,3,3,Adabor
6700000,1188.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
3800000,850.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3800000,850.0,2,2,Adabor
8900000,1578.0,4,4,Adabor
7000000,1300.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
8600000,1300.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12200000,1622.0,3,3,Adabor
7200000,1405.0,3,3,Adabor
7200000,1405.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12200000,1622.0,3,3,Adabor
4602000,965.0,3,2,Adabor
8000000,1400.0,3,3,Adabor
6409000,1105.0,3,3,Adabor
7700000,1275.0,3,3,Adabor
5460000,1050.0,2,2,Adabor
7200000,1405.0,3,3,Adabor
4500000,900.0,3,2,Adabor
8088000,1348.0,3,3,Adabor
8543000,1473.0,3,3,Adabor
7818000,1348.0,3,3,Adabor
8102000,1473.0,3,3,Adabor
9880000,1520.0,3,3,Adabor
7000000,1050.0,3,3,Adabor
4000000,950.0,2,2,Adabor
9880000,1520.0,3,3,Adabor
6500000,935.0,2,2,Adabor
7414000,1348.0,3,3,Adabor
7929000,1367.0,3,3,Adabor
8202000,1367.0,3,3,Adabor
8838000,1473.0,3,3,Adabor
7200000,1390.0,3,3,Adabor
4500000,900.0,3,2,Adabor
4500000,900.0,3,2,Adabor
7700000,1275.0,3,3,Adabor
4000000,800.0,2,2,Adabor
8000000,1400.0,3,3,Adabor
6500000,1415.0,3,3,Adabor
4500000,800.0,2,2,Adabor
7200000,1200.0,3,3,Adabor
7500000,1050.0,3,3,Adabor
5000000,950.0,2,2,Adabor
6000000,1310.0,3,3,Adabor
3800000,850.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3800000,850.0,2,2,Adabor
6700000,1115.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
7000000,1196.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
8200000,1270.0,3,3,Adabor
8761000,1123.0,3,3,Adabor
15656000,2108.0,3,3,Adabor
9419000,1217.0,3,2,Adabor
9419000,1217.0,3,2,Adabor
5500000,950.0,2,2,Adabor
6000000,950.0,2,2,Adabor
5000000,920.0,2,2,Adabor
8600000,1300.0,3,3,Adabor
8900000,1578.0,4,4,Adabor
7700000,1375.0,3,3,Adabor
6700000,1188.0,3,3,Adabor
7900000,1421.0,3,3,Adabor
6850000,1220.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
6850000,1300.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
17000000,2875.0,5,5,Adabor
9300000,1550.0,3,3,Adabor
6350000,1200.0,3,3,Adabor
13200000,2600.0,4,4,Adabor
6850000,1300.0,3,3,Adabor
6700000,1125.0,3,3,Adabor
6500000,1100.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
8450000,1400.0,3,3,Adabor
10075000,1550.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12165000,1622.0,3,3,Adabor
12165000,1622.0,3,3,Adabor
8300000,1350.0,3,3,Adabor
7000000,1250.0,3,3,Adabor
14000000,2500.0,4,4,Adabor
7000000,1250.0,3,3,Adabor
5200000,950.0,2,2,Adabor
5000000,900.0,2,2,Adabor
10500000,1850.0,4,4,Adabor
4602150,965.0,3,2,Adabor
8000000,1400.0,3,3,Adabor
5580000,1240.0,3,3,Adabor
7150000,1300.0,3,3,Adabor
7425000,1350.0,3,3,Adabor
6409000,1105.0,3,3,Adabor
7900000,1350.0,3,3,Adabor
9800000,1480.0,3,3,Adabor
5000000,1140.0,3,2,Adabor
8400000,1400.0,3,3,Adabor
4500000,900.0,3,2,Adabor
11200000,1750.0,3,4,Adabor
8088000,1348.0,3,3,Adabor
8543400,1473.0,3,3,Adabor
